id_evenement_api,ville_id,nom,description,date_debut,date_fin,latitude,longitude,adresse
FMAMID031V50X9QB,1,TARMO PELTOKOSKI / SOL GABETTA (ORCHESTRE NATIONAL DU CAPITOLE),"Un grand concert symphonique sous la direction de Tarmo Peltokoski, accompagné de la violoncelliste Sol Gabetta.",2025-02-27,2025-02-27,43.60029,1.45457,11 Place Dominique-Martin Dupuy
FMAMID031V50UW1Q,1,TOULOUSE SECRÈTE OU LA VILLE MÉCONNUE,"Vous voulez visiter la ville différemment et sortir des sentiers battus ? Cette visite va vous surprendre.  Détails cachés, petites histoires et trésors insoupçonnés ne demandent qu’à être révélés...",2024-09-08,2024-12-30,43.603908,1.44470599,Square du Général De Gaulle
FMAMID031V50W1YL,1,TRIO ZELIHA,"Saison Les Arts Renaissants
Échos romantiques, de Schubert à Brahms.",2025-01-07,2025-01-07,43.60407,1.43547,12 Place Saint-Pierre
FMAMID031V50W203,1,"VITTORIO GHIELMI, LUCA PIANCA ET CHRISTOPH URBANETZ",Le secret de monsieur Marin Marais,2025-03-06,2025-03-06,43.60336,1.44584,2 Rue du Lieutenant-Colonel Pélissier
FMAMID031FS00AI9,1,MARCHE DE NOEL DE BLAGNAC,Féérie de Noël au parc des Ramiers ! 75 chalets vous accueillent dans une ambiance féerique et un décor unique durant ces 5 jours de célébrations !,2024-12-04,2024-12-08,43.63484,1.40037,Allée du Canalet
FMAMID031V50X9O0,1,CONCERT DU NOUVEL AN (ORCHESTRE NATIONAL DU CAPITOLE),"Tout au long de sa vie, Beethoven repoussa les limites de la symphonie jusqu’à atteindre un point culminant avec sa Neuvième, idéal absolu du genre dont bien des compositeurs espérèrent approcher la perfection.",2024-12-31,2025-01-02,43.60029,1.45457,11 Place Dominique-Martin Dupuy
FMAMID031V50W693,1,AUTRES VOYAGES,"Schoenberg, Berio, Mantovani.
En écho à la création de son opéra Voyage d’automne.",2024-11-23,2024-11-23,43.60447,1.44379,Place du Capitole
FMAMID031V50UCYO,1,BALADE URBAINE DE BONNEFOY,Organisées par l'association En Quête de Patrimoine.,2024-12-07,2024-12-08,43.61502,1.45145,Rue du Maroc
FMAMID031V50W23E,1,BERTRAND CHAMAYOU,"LES GRANDS INTERPRÈTES
Ravel composa Gaspard de la Nuit comme un défi, pour surpasser la virtuosité déjà inouïe d’Islamey de Balakirev. Les deux pièces, au sommet de l’art du piano seront encadrées par d’autres chefs-d’œuvre de Liszt et Ravel.",2025-04-29,2025-04-29,43.5998852,1.45417761,1 place Dupuy
FMAMID031V50XSDZ,1,BRICE ET JOJO FÊTENT NOËL,"Dans ce nouveau spectacle, Brice et Jojo préparent Noël en famille !
A partir de 3 ans",2024-12-11,2024-12-15,43.63929,1.45598,67 Chemin Pujibet
