station,avg_bike_stands,std_bike_stands,avg_bikes,std_bikes,cluster
1,12.11360759493671,6.316246628330872,6.195569620253164,6.409995804143966,0
2,13.422151898734176,8.673363789928533,9.788291139240506,8.795257700367616,2
3,10.698417721518988,5.855265839089584,6.1870253164556965,5.929000307505396,0
4,12.498101265822784,6.383144664260187,6.828164556962025,6.442913988484115,2
5,12.633544303797468,4.064673600612724,5.162974683544304,3.852416188578341,3
6,11.482278481012658,5.75892738011724,5.659177215189874,5.785550706743251,0
7,13.559493670886075,8.046454534519647,10.509810126582279,8.142170091797357,2
8,15.322468354430379,7.252476730281738,8.327848101265824,7.273962144690877,2
9,12.557594936708862,3.2694504157998017,5.216772151898734,3.1783789539500713,3
10,30.87879746835443,12.712549719240423,11.132911392405063,12.74154626936398,2
11,14.285443037974684,7.346972776850031,7.900632911392405,7.28245318023466,2
12,6.015189873417722,3.4961775756412337,3.9784810126582277,3.594539521891714,1
13,9.901898734177216,4.3193062695388384,4.204430379746835,4.190083787296609,3
14,9.623417721518987,5.357373025907127,6.05506329113924,5.310087606184732,0
15,12.08259493670886,4.899607607519883,6.9503164556962025,4.865952401875397,0
16,12.809493670886075,5.632158915715634,6.170253164556962,5.800317742370869,0
17,11.445886075949367,8.084876327781004,10.59367088607595,7.9706305114160285,2
18,15.337341772151898,6.581757325653323,6.62879746835443,6.633955346727963,2
19,14.717088607594937,6.897730683140756,7.512025316455696,6.837357651252954,2
20,17.193037974683545,7.298723622634874,7.911708860759494,7.348132498119811,2
21,16.84715189873418,6.752701600615914,6.864873417721519,6.787958841394687,2
22,15.680379746835444,3.7225383011736657,3.8161392405063292,3.7253856905617546,3
23,20.02151898734177,4.822934312334045,4.383860759493671,4.550771475135754,3
24,14.035443037974684,6.5835279012383525,7.238924050632911,6.671902320679803,2
25,10.932911392405064,5.5167240399259745,5.987974683544304,5.536935835661737,0
26,13.615506329113924,5.22576227802937,5.992405063291139,5.132243496301025,0
27,14.57879746835443,5.67429739924797,6.8509493670886075,5.9294362061918,0
28,11.089240506329114,5.831191688726482,6.760443037974683,6.152942953536423,0
29,12.865822784810126,6.207122216540173,6.788924050632912,6.258295219218523,0
30,16.8876582278481,6.433164277258714,5.522784810126582,6.4591726653365,2
31,12.040189873417722,4.9113668664656585,4.434810126582279,4.779552141402859,3
32,7.069303797468354,3.400269176743641,3.5025316455696203,3.402882218146532,1
33,9.532594936708861,4.517513411219774,5.193987341772152,4.564548338916047,3
34,17.593354430379748,3.616748194626742,3.9253164556962026,3.6731090206615358,3
35,20.836708860759494,3.8422412610671555,3.6313291139240507,3.815029109865829,3
36,14.036075949367088,4.0278347512139945,4.413924050632912,4.105316133709963,3
37,10.258544303797468,4.332703924769636,7.076582278481013,4.2768051985228315,0
38,23.074050632911394,6.524909587545312,6.832594936708861,6.3697519093260215,2
39,14.509810126582279,3.901189171307228,4.025632911392405,3.915655695196257,3
40,11.139556962025317,3.692838280756566,4.082278481012659,3.6761341811993056,3
41,15.442721518987343,4.581561259601203,4.593037974683544,4.626630829419226,3
42,14.420886075949367,3.340269209446389,3.6734177215189874,3.4801916333099823,3
43,14.288607594936709,4.793976048579947,4.972151898734177,4.9434775893603415,3
44,16.50379746835443,2.9784471347868138,3.242721518987342,2.8839994012953536,3
45,12.930063291139241,3.919882355224956,4.290189873417722,3.877880058328179,3
46,12.829746835443038,5.807462746411326,6.421835443037975,5.810522306091638,0
47,24.350949367088607,4.03270097590869,4.487658227848101,4.020740730409406,3
48,24.875,5.510059435773356,5.687658227848101,5.438269615178279,3
49,15.470569620253164,6.930561918128127,7.484810126582278,7.040903216391207,2
50,14.962025316455696,4.461273091118075,6.810759493670886,4.514716331864763,3
